review_id,heritage_site,city_state,review_rating,review_text,review_date,source,image_present,image_url,image_description,intrinsic_value_positive,text_operational_issue,image_operational_issue,operational_aspect,image_evidence_type,text_image_contradiction,vmsd_label,vmsd_severity,vmsd_score,evidence_text_span,annotator_1_label,annotator_2_label,final_label,notes
R0001,Taj Mahal,Agra Uttar Pradesh,5,"The monument is breathtaking and absolutely worth visiting, but the entry queue was very long and the crowd was difficult to manage.",2025-01-10,Google Maps,Yes,,"Visible crowd near the main gate and a long queue at entry.",Yes,Yes,Yes,"crowding; queues",crowd_queue,Yes,Yes,High,0.86,"long queue; crowd",Yes,Yes,Yes,"Strong VMSD example"
R0002,Red Fort,Delhi,5,"Beautiful historic fort with amazing architecture. The visit was smooth and well managed.",2025-01-12,Google Maps,No,,"",Yes,No,No,,none,No,No,None,0.00,,No,No,No,"High intrinsic value without OM issue"
R0003,Qutub Minar,Delhi,4,"The heritage site is iconic and full of history, but the washrooms were not clean and signage was confusing.",2025-02-03,Google Maps,Yes,,"Information board is partly damaged and visitors look confused near the path.",Yes,Yes,Yes,"toilets; signage_wayfinding",facility_info,Yes,Yes,High,0.82,"washrooms were not clean; signage was confusing",Yes,Yes,Yes,"Text and image evidence"
R0004,Hampi,Karnataka,5,"Stunning ancient ruins and peaceful atmosphere. No major complaint from my side.",2025-02-18,TripAdvisor,No,,"",Yes,No,No,,none,No,No,None,0.00,,No,No,No,"Clear non-VMSD"
R0005,Konark Sun Temple,Odisha,5,"The temple carvings are magnificent, but it was extremely hot and there was almost no shade or seating area.",2025-03-05,Google Maps,Yes,,"Visitors standing in open sun with no visible shaded seating.",Yes,Yes,Yes,"heat_shade_comfort; seating",comfort,Yes,Yes,High,0.88,"no shade or seating area",Yes,Yes,Yes,"Comfort-related VMSD"
R0006,Taj Mahal,Agra Uttar Pradesh,4,"Wonderful heritage experience, but ticketing was slow and staff at the counter were unhelpful.",2025-03-16,Google Maps,No,,"",Yes,Yes,No,"pricing_ticketing; staff_behavior",none,No,Yes,Moderate,0.52,"ticketing was slow; staff were unhelpful",Yes,Yes,Yes,"Text-only VMSD"
R0007,Red Fort,Delhi,4,"The site is historically important and the museum section was informative.",2025-04-01,Google Maps,Yes,,"Clean courtyard and readable information boards.",Yes,No,No,,none,No,No,None,0.00,,No,No,No,"Positive review"
R0008,Qutub Minar,Delhi,5,"Amazing place and architecture, but the image clearly shows litter near the walking path.",2025-04-10,Google Maps,Yes,,"Garbage visible near the walking path and dustbin overflowing.",Yes,No,Yes,"cleanliness",image_cleanliness,Yes,Yes,Moderate,0.61,"image clearly shows litter",Yes,Yes,Yes,"Image-exclusive VMSD"
R0009,Hampi,Karnataka,5,"A must visit place for anyone interested in history, but elderly visitors may struggle because ramps and resting spots are limited.",2025-04-18,TripAdvisor,No,,"",Yes,Yes,No,"accessibility; seating",none,No,Yes,Moderate,0.58,"ramps and resting spots are limited",Yes,Yes,Yes,"Accessibility issue"
R0010,Konark Sun Temple,Odisha,4,"Iconic UNESCO heritage site. The guide explained the history well and the premises were clean.",2025-05-02,Google Maps,No,,"",Yes,No,No,,none,No,No,None,0.00,,No,No,No,"No divergence"
